

[kever|log]: 2020-07-16 10:49:05 | load file...
[kever|error]: 2020-07-16 10:49:05 | / router already exists
[kever|log]: 2020-07-16 10:49:05 | load file done
[kever|log]: 2020-07-16 10:49:05 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 10:49:05 | server is running...

[kever|log]: 2020-07-16 10:50:55 | load file...
[kever|error]: 2020-07-16 10:50:55 | / router already exists
[kever|log]: 2020-07-16 10:50:55 | load file done
[kever|log]: 2020-07-16 10:50:55 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 10:50:55 | server is running...

[kever|log]: 2020-07-16 10:53:48 | load file...
[kever|log]: 2020-07-16 10:53:48 | load file done

[kever|log]: 2020-07-16 10:55:11 | load file...
[kever|log]: 2020-07-16 10:55:11 | load file done

[kever|log]: 2020-07-16 10:56:38 | load file...
[kever|log]: 2020-07-16 10:56:39 | load file done

[kever|log]: 2020-07-16 11:02:08 | load file...
[kever|log]: 2020-07-16 11:02:09 | load file done

[kever|log]: 2020-07-16 11:02:41 | load file...
[kever|log]: 2020-07-16 11:02:42 | load file done

[kever|log]: 2020-07-16 11:06:18 | load file...
[kever|log]: 2020-07-16 11:06:18 | load file done

[kever|log]: 2020-07-16 11:07:09 | load file...
[kever|log]: 2020-07-16 11:07:09 | load file done
[kever|log]: 2020-07-16 11:07:09 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:07:09 | server is running...

[kever|log]: 2020-07-16 11:07:42 | load file...
[kever|log]: 2020-07-16 11:07:42 | load file done
[kever|log]: 2020-07-16 11:07:42 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:07:42 | server is running...

[kever|log]: 2020-07-16 11:07:54 | load file...
[kever|log]: 2020-07-16 11:07:54 | load file done
[kever|log]: 2020-07-16 11:07:54 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:07:54 | server is running...

[kever|log]: 2020-07-16 11:08:08 | load file...
[kever|log]: 2020-07-16 11:08:08 | load file done
[kever|log]: 2020-07-16 11:08:08 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:08:08 | server is running...

[kever|log]: 2020-07-16 11:08:18 | load file...
[kever|log]: 2020-07-16 11:08:18 | load file done
[kever|log]: 2020-07-16 11:08:18 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:08:18 | server is running...

[kever|log]: 2020-07-16 11:08:27 | load file...
[kever|log]: 2020-07-16 11:08:27 | load file done
[kever|log]: 2020-07-16 11:08:27 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:08:27 | server is running...

[kever|log]: 2020-07-16 11:08:35 | load file...
[kever|log]: 2020-07-16 11:08:35 | load file done
[kever|log]: 2020-07-16 11:08:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:08:35 | server is running...

[kever|log]: 2020-07-16 11:08:52 | load file...
[kever|log]: 2020-07-16 11:08:52 | load file done

[kever|log]: 2020-07-16 11:09:01 | load file...
[kever|log]: 2020-07-16 11:09:01 | load file done
[kever|log]: 2020-07-16 11:09:01 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:09:01 | server is running...

[kever|log]: 2020-07-16 11:09:26 | load file...
[kever|log]: 2020-07-16 11:09:26 | load file done
[kever|log]: 2020-07-16 11:09:26 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:09:26 | server is running...

[kever|log]: 2020-07-16 11:09:26 | load file...
[kever|log]: 2020-07-16 11:09:26 | load file done
[kever|log]: 2020-07-16 11:09:26 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:09:26 | server is running...
[kever|error]: 2020-07-16 11:09:30 | TypeError: Cannot read property 'store' of undefined

[kever|log]: 2020-07-16 11:09:26 | load file...
[kever|log]: 2020-07-16 11:09:26 | load file done
[kever|log]: 2020-07-16 11:09:26 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:09:26 | server is running...
[kever|error]: 2020-07-16 11:09:30 | TypeError: Cannot read property 'store' of undefined
[kever|error]: 2020-07-16 11:09:31 | TypeError: Cannot read property 'store' of undefined
[kever|error]: 2020-07-16 11:09:32 | TypeError: Cannot read property 'store' of undefined
[kever|error]: 2020-07-16 11:09:32 | TypeError: Cannot read property 'store' of undefined

[kever|log]: 2020-07-16 11:10:17 | load file...
[kever|log]: 2020-07-16 11:10:17 | load file done
[kever|log]: 2020-07-16 11:10:17 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:10:17 | server is running...

[kever|log]: 2020-07-16 11:10:17 | load file...
[kever|log]: 2020-07-16 11:10:17 | load file done
[kever|log]: 2020-07-16 11:10:17 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:10:17 | server is running...
[kever|error]: 2020-07-16 11:10:19 | Error: Minified React error #294; visit https://reactjs.org/docs/error-decoder.html?invariant=294 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.

[kever|log]: 2020-07-16 11:11:17 | load file...
[kever|log]: 2020-07-16 11:11:18 | load file done
[kever|log]: 2020-07-16 11:11:18 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:11:18 | server is running...

[kever|log]: 2020-07-16 11:12:58 | load file...
[kever|log]: 2020-07-16 11:12:58 | load file done
[kever|log]: 2020-07-16 11:12:58 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:12:58 | server is running...

[kever|log]: 2020-07-16 11:19:52 | load file...
[kever|log]: 2020-07-16 11:19:52 | load file done
[kever|log]: 2020-07-16 11:19:52 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:19:52 | server is running...

[kever|log]: 2020-07-16 11:20:22 | load file...
[kever|log]: 2020-07-16 11:20:22 | load file done
[kever|log]: 2020-07-16 11:20:22 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:20:22 | server is running...

[kever|log]: 2020-07-16 11:20:40 | load file...
[kever|log]: 2020-07-16 11:20:41 | load file done
[kever|log]: 2020-07-16 11:20:41 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:20:41 | server is running...

[kever|log]: 2020-07-16 11:22:14 | load file...
[kever|log]: 2020-07-16 11:22:14 | load file done
[kever|log]: 2020-07-16 11:22:14 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:22:14 | server is running...

[kever|log]: 2020-07-16 11:24:35 | load file...
[kever|log]: 2020-07-16 11:24:35 | load file done
[kever|log]: 2020-07-16 11:24:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:24:35 | server is running...

[kever|log]: 2020-07-16 11:25:23 | load file...
[kever|log]: 2020-07-16 11:25:23 | load file done
[kever|log]: 2020-07-16 11:25:23 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:25:23 | server is running...

[kever|log]: 2020-07-16 11:26:54 | load file...
[kever|log]: 2020-07-16 11:26:54 | load file done
[kever|log]: 2020-07-16 11:26:54 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:26:54 | server is running...

[kever|log]: 2020-07-16 11:29:13 | load file...
[kever|log]: 2020-07-16 11:29:13 | load file done
[kever|log]: 2020-07-16 11:29:13 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:29:13 | server is running...

[kever|log]: 2020-07-16 11:31:17 | load file...
[kever|log]: 2020-07-16 11:31:17 | load file done
[kever|log]: 2020-07-16 11:31:17 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:31:17 | server is running...

[kever|log]: 2020-07-16 11:35:35 | load file...
[kever|log]: 2020-07-16 11:35:35 | load file done
[kever|log]: 2020-07-16 11:35:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:35:35 | server is running...

[kever|log]: 2020-07-16 11:41:21 | load file...
[kever|log]: 2020-07-16 11:41:21 | load file done
[kever|log]: 2020-07-16 11:41:21 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:41:21 | server is running...

[kever|log]: 2020-07-16 11:42:17 | load file...
[kever|log]: 2020-07-16 11:42:18 | load file done
[kever|log]: 2020-07-16 11:42:18 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:42:18 | server is running...

[kever|log]: 2020-07-16 11:43:28 | load file...
[kever|log]: 2020-07-16 11:43:28 | load file done
[kever|log]: 2020-07-16 11:43:28 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:43:28 | server is running...

[kever|log]: 2020-07-16 11:44:02 | load file...
[kever|log]: 2020-07-16 11:44:02 | load file done
[kever|log]: 2020-07-16 11:44:02 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:44:02 | server is running...

[kever|log]: 2020-07-16 11:44:13 | load file...
[kever|log]: 2020-07-16 11:44:13 | load file done
[kever|log]: 2020-07-16 11:44:13 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:44:13 | server is running...

[kever|log]: 2020-07-16 11:45:26 | load file...
[kever|log]: 2020-07-16 11:45:26 | load file done
[kever|log]: 2020-07-16 11:45:26 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:45:26 | server is running...

[kever|log]: 2020-07-16 11:53:03 | load file...
[kever|log]: 2020-07-16 11:53:03 | load file done
[kever|log]: 2020-07-16 11:53:03 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:53:03 | server is running...

[kever|log]: 2020-07-16 11:54:50 | load file...
[kever|log]: 2020-07-16 11:54:50 | load file done

[kever|log]: 2020-07-16 11:55:07 | load file...
[kever|log]: 2020-07-16 11:55:07 | load file done
[kever|log]: 2020-07-16 11:55:07 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:55:07 | server is running...

[kever|log]: 2020-07-16 11:56:12 | load file...
[kever|log]: 2020-07-16 11:56:12 | load file done
[kever|log]: 2020-07-16 11:56:12 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:56:12 | server is running...

[kever|log]: 2020-07-16 11:56:18 | load file...
[kever|log]: 2020-07-16 11:56:18 | load file done
[kever|log]: 2020-07-16 11:56:18 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:56:18 | server is running...

[kever|log]: 2020-07-16 11:58:56 | load file...
[kever|log]: 2020-07-16 11:58:57 | load file done
[kever|log]: 2020-07-16 11:58:57 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 11:58:57 | server is running...

[kever|log]: 2020-07-16 12:01:55 | load file...
[kever|log]: 2020-07-16 12:01:55 | load file done
[kever|log]: 2020-07-16 12:01:55 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 12:01:55 | server is running...

[kever|log]: 2020-07-16 12:02:28 | load file...
[kever|log]: 2020-07-16 12:02:28 | load file done
[kever|log]: 2020-07-16 12:02:28 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 12:02:28 | server is running...

[kever|log]: 2020-07-16 12:10:38 | load file...
[kever|log]: 2020-07-16 12:10:38 | load file done

[kever|log]: 2020-07-16 12:13:24 | load file...
[kever|log]: 2020-07-16 12:13:24 | load file done
[kever|log]: 2020-07-16 12:13:24 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 12:13:24 | server is running...

[kever|log]: 2020-07-16 14:31:12 | load file...
[kever|log]: 2020-07-16 14:31:12 | load file done
[kever|log]: 2020-07-16 14:31:12 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 14:31:12 | server is running...

[kever|log]: 2020-07-16 14:33:20 | load file...
[kever|log]: 2020-07-16 14:33:20 | load file done
[kever|log]: 2020-07-16 14:33:20 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-16 14:33:20 | server is running...

[kever|log]: 2020-07-16 14:33:38 | load file...
[kever|log]: 2020-07-16 14:33:38 | load file done

[kever|log]: 2020-07-16 14:33:47 | load file...
[kever|log]: 2020-07-16 14:33:47 | load file done

[kever|log]: 2020-07-16 14:34:08 | load file...
[kever|log]: 2020-07-16 14:34:08 | load file done
